year,ai_adoption_level,productivity_gain
2015,0.19148088969105,0.15116734260537212
2016,0.22009480928864136,0.17267130398234737
2017,0.2522849088241459,0.19613495074407883
2018,0.287984576446281,0.2210723243801653
2019,0.32042324909747294,0.24453884476534293
2020,0.35387639344262295,0.2686471813855103
2021,0.39089352083333334,0.294783
2022,0.4264942124933262,0.3217549919914575
2023,0.4559274837219072,0.34262544633480363
2024,0.4949571338648763,0.37099834242551405
2025,0.5295329480983401,0.39626589619668
2026,0.5665663938671915,0.4230838702993888
2027,0.5978073543559593,0.44749489043292356
2028,0.6311076604125635,0.4699176738882554
2029,0.6689323426387856,0.499062063475215
2030,0.7007186846827826,0.5210325451282593
2031,0.737696671899529,0.5483906017791732
2032,0.7688699613819017,0.5707371464356539
2033,0.8020583228511531,0.5943418658280922
2034,0.8336732348965373,0.6157770198606634
2035,0.8578444862020831,0.6351487275850961
