country,industry,rows,companies,avg_ai_adoption_level,avg_ai_investment_usd,avg_productivity_gain,avg_roi
Australia,Telecom,413,400,0.5339486682808717,4316016.89346247,0.38439346246973366,0.7854955525303972
Australia,Energy,438,423,0.5319212328767123,5028421.502283105,0.42313424657534243,0.6853508223579992
Australia,Healthcare,700,671,0.524127,4371510.005714286,0.33969457142857146,0.6380366047679514
Australia,Financial Services,826,786,0.5229142857142858,7078059.608958838,0.39976694915254235,0.7701415094476914
Australia,Technology,1084,1016,0.5185683579335794,5799274.873616236,0.37567546125461254,1.2769678845140808
Australia,Retail,598,576,0.5137204013377926,2195055.1672240803,0.35247591973244147,0.8309422423416585
Australia,Manufacturing,875,828,0.5134736,3503585.046857143,0.42853497142857144,0.6262017407532625
Australia,Education,235,231,0.5081872340425532,720269.7063829787,0.2989995744680851,0.47958407478262916
Australia,Logistics,477,467,0.5047142557651992,2798246.8784067086,0.4139060796645702,0.7028896683369587
Australia,Agriculture,314,304,0.5016047770700637,1136962.49044586,0.38647866242038215,0.5535298245365071
Brazil,Energy,537,516,0.5062463687150839,3213817.2960893856,0.39414841713221604,0.6454685550017799
Brazil,Retail,774,736,0.4965217054263566,1332853.9870801033,0.3354374677002584,0.7779342359077382
Brazil,Technology,1457,1343,0.49238599862731636,3521373.2642415925,0.350736925188744,1.2239597413713224
Brazil,Manufacturing,1163,1086,0.4911368873602751,2204142.2072227,0.40283499570077386,0.6003662601544869
Brazil,Healthcare,971,898,0.48986930998970135,2682039.1822863026,0.3121700308959835,0.6219019737138382
Brazil,Financial Services,1132,1043,0.4892621024734982,4334211.780035336,0.3658358657243816,0.7490036724788449
Brazil,Agriculture,395,389,0.48236860759493666,723765.346835443,0.3593154430379747,0.5476668623813732
Brazil,Logistics,602,580,0.48069601328903655,1729755.3255813953,0.38790348837209304,0.6723123850689309
Brazil,Education,302,297,0.4588907284768212,425469.14238410594,0.2637596026490066,0.4377178017300821
Brazil,Telecom,598,574,0.4566466555183947,2467003.1488294313,0.3249016722408027,0.7016923510944562
Canada,Telecom,671,643,0.54155782414307,4944123.338301043,0.39528450074515653,0.7699134213330232
Canada,Education,377,366,0.5411244031830238,830227.9496021221,0.3172816976127321,0.4886171023013864
Canada,Healthcare,1232,1156,0.5398944805194805,4927130.297889611,0.35623676948051947,0.6616221698364468
Canada,Energy,740,711,0.5345031081081081,5662479.036486487,0.4300085135135135,0.6887267699577472
Canada,Retail,1002,950,0.5341424151696607,2412370.4510978046,0.3689921157684631,0.8321654384471586
Canada,Financial Services,1386,1279,0.5301005772005771,8212511.0735930735,0.40696558441558445,0.7855444200121362
Canada,Manufacturing,1529,1393,0.5256703073904513,3927554.8763897973,0.43995134074558534,0.6363509828709166
Canada,Agriculture,531,509,0.5249702448210923,1247021.0998116762,0.4016749529190207,0.5869357156741942
Canada,Technology,1811,1642,0.524401325234677,6291587.911098841,0.38334732192159027,1.3058509140210681
Canada,Logistics,835,787,0.521580119760479,3128962.832335329,0.42915029940119764,0.714539796093271
China,Agriculture,1818,1622,0.5352272827282728,1412183.0099009902,0.40831666666666666,0.5748699233019203
China,Energy,2485,2130,0.5351123138832998,6129004.654325956,0.42815915492957746,0.679901653124239
China,Financial Services,5023,3683,0.5299260402150109,8707659.992036631,0.4067838940871989,0.7877367738318639
China,Telecom,2517,2157,0.5298140246324989,5181327.149384188,0.3878724672228844,0.7677526873439974
China,Manufacturing,5293,3837,0.5296634422822596,4355118.434725109,0.4436783487625165,0.6436745097690364
China,Healthcare,4294,3329,0.5296165579878901,5211049.30647415,0.348888821611551,0.6577481328864796
China,Logistics,2902,2426,0.529172467263956,3446979.38973122,0.4342538938662991,0.719799932499701
China,Retail,3586,2885,0.5282644729503625,2586990.385945343,0.3670753206915784,0.8302578953419263
China,Technology,6578,4472,0.5270151109759805,6930739.886135603,0.3857234417756157,1.3119660863672786
China,Education,1410,1303,0.5202690780141843,853352.1262411347,0.30415163120567373,0.47764630604773023
France,Education,389,388,0.5232629820051413,712556.3187660668,0.30630308483290486,0.4788841877629607
France,Agriculture,454,440,0.5232363436123347,1149912.3370044052,0.39960859030837004,0.5855727691770424
France,Energy,668,638,0.5225255988023952,5138840.685628743,0.4149374251497006,0.6598504016452804
France,Telecom,682,645,0.5208063049853373,4358165.854838709,0.3791800586510264,0.757133023453258
France,Manufacturing,1470,1342,0.5197219047619048,3617736.6149659865,0.43291081632653067,0.629535686880685
France,Financial Services,1418,1289,0.5188329337094499,7256690.054301834,0.3957397743300423,0.7741041457197864
France,Technology,1833,1619,0.5165606110201855,5805834.921440261,0.3736338243316967,1.2874105317616749
France,Retail,989,931,0.5130526794742164,2153210.107178969,0.3552930232558139,0.8149317520144976
France,Logistics,755,724,0.5129794701986755,2888378.459602649,0.4172303311258278,0.7117347017132473
France,Healthcare,1238,1156,0.4981333602584815,4260641.379644588,0.3266306946688207,0.6324707164419325
Germany,Financial Services,2242,1946,0.5333203835860839,7968633.845673506,0.40838354148082073,0.7891359600285981
Germany,Logistics,1260,1170,0.5310518253968254,3234786.55,0.43778500000000004,0.7233926407209385
Germany,Energy,1161,1077,0.5291013781223084,5781313.6528854435,0.4235542635658915,0.6697671553550747
Germany,Manufacturing,2465,2117,0.5261779310344828,3966061.730223124,0.4402305476673428,0.6362334874614343
Germany,Agriculture,782,751,0.5227613810741688,1220968.3925831201,0.4022970588235294,0.5767956768643365
Germany,Healthcare,1886,1666,0.5189367444326617,4741788.949628844,0.3430538706256628,0.6458988044260958
Germany,Retail,1586,1437,0.5161344892812105,2359312.0926860026,0.3567295712484237,0.8119766862305122
Germany,Telecom,1147,1075,0.5160479511769834,4735839.886660854,0.37836992153443766,0.7586394469869642
Germany,Education,683,656,0.5156696925329429,784938.5549048316,0.30281947291361644,0.47463674984720333
Germany,Technology,2828,2395,0.5112350424328147,6190411.855374823,0.37396453323903817,1.2855374204476278
India,Agriculture,661,633,0.5263107413010589,859572.1860816944,0.39683131618759454,0.5700499216930677
India,Manufacturing,2087,1845,0.5245469573550551,2622988.5045519886,0.4355759463344514,0.6356412940034594
India,Retail,1398,1284,0.5136246065808298,1554290.178111588,0.35243469241773967,0.8203730735868073
