entity_type,name,rank,final_ai_score,avg_ai_adoption_level,avg_ai_investment_usd,avg_automation_rate,avg_cost_savings,avg_revenue_impact,avg_productivity_gain,avg_employee_ai_training_hours,avg_ai_maturity_score,avg_deployment_count,avg_total_benefit,avg_net_value,avg_roi,avg_final_ai_score,automation_rate_component_score,productivity_gain_component_score,training_hours_component_score,ai_maturity_score_component_score,deployment_count_component_score,roi_component_score,net_value_component_score
industry,Energy,1,71.4,0.5316,5783328.6555,0.4923,2130234.0765,2267110.1415,0.4266,77.3244,6.3022,26.5401,4397344.218,-1385984.4374,0.6751,71.4,87.6,88.2,100.0,100.0,100.0,23.9,0.0
industry,Manufacturing,2,62.2,0.528,4075209.0518,0.5222,1461592.8887,1476648.8702,0.4425,76.8728,6.2783,26.368,2938241.7589,-1136967.2929,0.6407,62.2,100.0,100.0,71.4,71.4,67.1,19.7,5.6
industry,Financial Services,3,60.5,0.5291,8206723.9914,0.456,3383839.2815,3863965.9529,0.4063,77.0313,6.2813,26.4064,7247805.2345,-958918.7569,0.7854,60.5,72.7,73.3,81.5,75.0,74.5,37.0,9.5
industry,Technology,4,60.2,0.5257,6488823.0991,0.4185,4061684.3623,5527863.5196,0.3847,76.194,6.2512,26.2207,9589547.8818,3100724.7827,1.3125,60.2,57.2,57.3,28.5,39.1,39.0,100.0,100.0
industry,Agriculture,5,60.0,0.53,1315642.1272,0.4564,406224.8693,445679.3538,0.4064,77.0773,6.2873,26.4074,851904.2232,-463737.9041,0.5771,60.0,72.8,73.3,84.4,82.1,74.7,12.2,20.6
industry,Logistics,6,58.3,0.5274,3270041.5442,0.5058,1297772.4859,1358749.3635,0.4334,76.8592,6.2631,26.2856,2656521.8494,-613519.6948,0.721,58.3,93.2,93.3,70.6,53.3,51.4,29.3,17.2
industry,Retail,7,50.8,0.5282,2451389.891,0.3864,1005702.123,1285909.632,0.3677,76.8145,6.2745,26.3438,2291611.755,-159778.136,0.8318,50.8,43.9,44.7,67.7,66.9,62.5,42.6,27.3
industry,Telecom,8,46.3,0.5266,4875045.0894,0.4197,1917113.87,2264974.7424,0.3855,76.5984,6.2654,26.2689,4182088.6124,-692956.477,0.7665,46.3,57.6,57.9,54.1,56.1,48.2,34.8,15.4
industry,Healthcare,9,45.5,0.5287,4921771.078,0.3524,1578793.825,2059374.0386,0.3493,76.9711,6.2843,26.4217,3638167.8636,-1283603.2145,0.6574,45.5,29.9,31.2,77.6,78.6,77.4,21.7,2.3
industry,Education,10,3.2,0.5212,806923.2866,0.28,176983.9189,253323.9682,0.3071,75.7444,6.2185,26.0162,430307.8872,-376615.3995,0.4754,3.2,0.0,0.0,0.0,0.0,0.0,0.0,22.5
